"iso3","half_life","lower","upper","svy_count"
"AGO",1.1,1.01,1.26,3
"BDI",1.31,1.14,1.47,4
"BEN",1.07,1.01,1.17,4
"BFA",1.58,1.41,1.76,5
"CAF",1.9,1.56,2.26,2
"CIV",1.69,1.51,1.86,4
"CMR",3.49,3.24,3.78,4
"COD",1.41,1.15,1.64,3
"COG",2.91,2.31,3.65,3
"COM",2.13,1.81,2.39,1
"DJI",1.05,1.01,1.13,2
"ERI",3.01,1.94,3.79,1
"ETH",1.33,1.19,1.48,4
"GAB",3.34,2.63,3.79,1
"GHA",1.78,1.67,1.9,7
"GIN",1.51,1.28,1.75,4
"GMB",1.62,1.39,1.85,4
"GNB",1.38,1.01,2.16,2
"GNQ",3.59,3.27,3.79,1
"KEN",2.26,1.98,2.58,5
"LBR",1.03,1.01,1.07,4
"MDG",1.65,1.48,1.81,4
"MLI",2.81,2.46,3.14,6
"MOZ",1.34,1.21,1.5,3
"MRT",1.07,1.01,1.16,2
"MWI",1.33,1.21,1.45,9
"NER",3.5,3.25,3.78,2
"NGA",2.22,2,2.47,9
"RWA",1.59,1.48,1.7,6
"SDN",2.91,2.11,3.77,2
"SEN",1.35,1.22,1.48,10
"SLE",1.47,1.31,1.63,5
"SOM",2.35,1.02,3.66,1
"SSD",1.02,1.01,1.04,3
"TCD",1.03,1.01,1.08,1
"TGO",2.42,2.21,2.61,4
"TZA",2.15,1.88,2.43,6
"UGA",1.66,1.55,1.78,6
"ZMB",1.32,1.21,1.44,9
"ZWE",2.79,2.26,3.38,5
